,Port_IDs,Total_PnL,ROI,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,PnL_Rank,ROI_Rank,Sharpe_Ratio_Rank,Win_Rate_Rank,MDD_Rank,Win_Positions_Rank,Total_Positions_Rank,Overall_Rank
62,3986814617275053313,15847.59634446,0.859710323157076,0.33271256379605807,0.0,77.90560471976401,2641,3390,7.0,50.0,18.0,2.0,128.5,3.0,22.0,1.0
17,3907081197088384000,16986.45633284,1.0560862984416888,0.21670543393764777,0.0,60.94659579853202,2408,3951,5.0,39.0,58.0,7.0,128.5,6.0,20.0,2.0
32,3939318616482048768,9406.8656064,1.0121156625293053,0.25678591895500247,-4.4034881910375394e+36,57.36842105263158,109,190,17.0,44.0,40.0,9.0,49.0,90.0,109.0,3.0
16,3891020560590657281,2805.66419055,1.7598382043059038,0.43739565100584443,0.0,66.90821256038647,277,414,69.0,29.0,9.0,5.0,128.5,63.0,85.0,4.0
14,3886752488982104320,7122.138782,0.8971328360964667,0.22310788820818467,-inf,74.79201331114808,899,1202,20.0,46.0,53.0,3.0,10.5,33.0,46.0,5.0
112,4029749871687083265,3538.24113884,3.1306801637383987,0.3515853110324469,0.0,42.874396135265705,355,828,54.0,11.0,17.0,56.0,128.5,54.0,54.0,6.0
58,3977234346014419201,2427.29283086,4.29716557962409,0.33159557421464747,0.0,46.478873239436616,33,71,84.0,3.0,20.0,38.0,128.5,126.0,132.0,7.5
75,3999240873283311617,42220.47216521,0.5443221148742845,0.22915735269847773,-81.58338206,52.09334248455731,2277,4371,2.0,79.0,46.0,18.0,93.0,8.0,19.0,7.5
8,3826087012661391104,532.65697373,12.191384948855822,0.676951094213021,-2.943395779095924e+19,58.87850467289719,63,107,137.0,1.0,1.0,8.0,66.0,108.0,121.0,9.0
37,3944088772635000577,7471.56897874,0.7099133602191146,0.29718054032098246,-5.6341824,46.05059370160041,2676,5811,19.0,62.0,28.0,41.0,102.0,2.0,7.0,10.0
133,4035430878731345664,2399.00872719,1.8781614851438946,0.46031848241263496,0.0,47.674418604651166,41,86,89.0,26.0,8.0,33.0,128.5,121.0,128.0,11.5
36,3943533600390906881,2343.40360854,1.0563550844106964,0.42274454711449766,0.0,54.39814814814815,940,1728,93.0,38.0,11.0,14.0,128.5,32.0,35.0,11.5
107,4028701921959171840,15750.62151397,0.38428674168431964,0.27665408516980544,-inf,50.08460236886633,296,591,8.0,95.0,32.0,24.0,10.5,59.5,68.0,13.0
19,3910983669796782848,6764.81172472,0.7207962393645154,0.3326263715148671,-4.326193863593056e+156,42.812006319115326,271,633,23.0,60.0,19.0,58.0,21.0,64.0,64.0,14.0
47,3956048468100538880,1373.56489,1.1145612443640718,0.5246478950421928,0.0,71.42857142857143,20,28,121.0,36.0,3.0,4.0,128.5,132.5,146.0,15.0
99,4022565861939831809,13807.94979679,0.23389192379371904,0.31313136452097284,-inf,52.6148969889065,332,631,9.0,118.0,22.0,17.0,10.5,56.0,65.0,16.5
30,3936410995029308417,10681.514,1.791633794510992,0.30707607863809716,0.0,31.57894736842105,6,19,12.0,28.0,23.0,103.0,128.5,141.0,148.0,16.5
94,4017323550554338817,3121.13055186,1.979941289022385,0.21769603782426303,0.0,49.224806201550386,254,516,63.0,25.0,56.0,27.0,128.5,67.0,73.0,18.0
48,3956076827719377409,16618.82917513,1.032786763294885,0.09912266250617739,-1.9947470626692827e+44,51.21314896947561,1963,3833,6.0,42.0,106.0,19.0,41.0,13.0,21.0,19.0
92,4017110277719148289,2855.87626248,0.46899840036903245,0.39693576222837623,0.0,56.016597510373444,135,241,66.0,84.0,13.0,12.0,128.5,82.5,103.0,20.0
100,4022641794255717633,2173.16818573,1.8477650084617456,0.5276489905651358,-32.661570601780085,43.54090758529314,2629,6038,98.0,27.0,2.0,51.0,96.0,4.0,2.0,21.0
39,3944658614777849089,2074.44997996,2.0835728712731325,0.40731357759377307,0.0,44.44444444444444,20,45,99.0,22.0,12.0,46.0,128.5,132.5,143.0,22.0
76,3999845462424248576,5787.75513967,0.8741775543434961,0.22505451502149723,-123908609667992.52,43.647095371233306,1405,3219,31.0,49.0,52.0,50.0,76.0,22.0,24.0,23.0
109,4029422834086627072,2755.87330452,1.2852961730488313,0.5155702242595643,0.0,37.755102040816325,37,98,70.0,34.0,5.0,75.0,128.5,123.0,125.0,24.0
143,4039129759104249600,1243.08169114,3.1382258752294003,0.5224943811070518,0.0,44.96124031007752,58,129,128.0,10.0,4.0,43.0,128.5,112.0,117.0,25.0
5,3788465932399412480,13209.20607365,0.8236981344265735,0.1541129426898421,-0.9949673317893585,45.270025371511416,1249,2759,10.0,53.0,82.0,42.0,106.0,25.0,27.0,26.0
144,4039279455324236544,1023.49838734,1.0274227613198823,0.47635790606081163,0.0,55.16129032258065,171,310,132.0,43.0,6.0,13.0,128.5,77.0,94.0,27.0
116,4030565764341697025,2401.57593396,0.7954326690998827,0.3040271823824446,-1.44827404,48.03921568627451,49,102,88.0,55.0,24.0,30.0,103.0,116.0,123.5,28.0
148,4041860229502600193,2327.33599982,1.34929950525078,0.4625827477948898,0.0,40.0,38,95,95.0,33.0,7.0,66.0,128.5,122.0,126.5,29.0
61,3983074113875692800,2424.82951996,2.7248012013830367,0.36480926651482454,0.0,33.33333333333333,14,42,85.0,17.0,15.0,92.0,128.5,136.0,144.5,31.5
70,3994879592543698688,3633.7262049299998,0.8339192551663324,0.11950702713424226,-28.28930978,56.02503912363067,358,639,50.0,51.0,97.0,11.0,97.0,53.0,63.0,31.5
95,4019895412775450368,2554.97893444,1.0442790844465517,0.2826746643383831,0.0,40.66543438077634,220,541,77.0,40.0,29.0,63.0,128.5,73.0,71.0,31.5
2,3768170840939476993,243.66889897,8.779089104108492,0.4237899190592332,0.0,42.857142857142854,6,14,140.0,2.0,10.0,57.0,128.5,141.0,149.0,31.5
120,4031173908980084736,5345.31649571,0.5875687931394641,0.30033518660757336,-22.82189,36.405529953917046,79,217,33.0,73.0,26.0,81.0,100.0,100.0,107.0,34.0
50,3960874214179953664,19277.53925264,0.23266129986102219,0.1659266928834671,-1.011474458995707e+56,50.60510981622591,1129,2231,4.0,119.0,75.0,21.0,37.0,29.0,33.0,35.5
84,4008711265867865600,10579.77814317,0.29336167217804676,0.26164006672399354,-7.115232800523141e+93,40.77134986225895,148,363,13.0,107.0,37.0,62.0,27.0,80.0,88.0,35.5
123,4031414524297538817,2525.9744649,1.390162748106984,0.303216172877812,-1.04723956,35.26570048309179,73,207,79.0,32.0,25.0,84.0,105.0,102.5,108.0,37.0
73,3998572645139652353,9432.8412635,0.4627552250662236,0.2676350182733655,-1.2099324743431707e+19,34.81781376518219,86,247,15.0,85.0,35.0,86.0,67.0,97.5,101.0,38.0
124,4031451549482615297,3121.37771527,1.0422065216971892,0.22913307695373697,-2.3932875656261418e+35,38.18181818181819,42,110,62.0,41.0,47.0,72.0,51.0,120.0,120.0,39.5
134,4036548677626662656,3292.1177562,0.5659096506384435,0.2572964392040282,0.0,44.274809160305345,58,131,59.0,76.0,39.0,48.0,128.5,112.0,116.0,39.5
77,4000222729738650369,1792.38195062,0.7195018336186333,0.24725018652257946,-6.157274081516045e+40,56.102783725910065,524,934,112.0,61.0,44.0,10.0,44.0,41.0,50.0,41.0
87,4012994295026226176,2508.81348843,1.5775729933715659,0.21673840472806938,-33312823.18927113,40.42207792207792,249,616,81.0,31.0,57.0,64.0,83.0,68.0,67.0,42.0
88,4013955990069013504,1679.90953935,0.7010830434052878,0.2282522384750249,-4871.875701631441,65.81920903954803,233,354,114.0,65.0,49.0,6.0,89.0,71.0,89.0,43.0
131,4034786679304751616,2428.8095125,3.0579410606290174,0.20545573034830808,0.0,37.37704918032787,114,305,83.0,14.0,63.0,77.0,128.5,86.0,96.0,44.0
11,3878631538480067329,3908.22368975,0.4102628640501527,0.15396142915018515,-inf,50.46594982078854,1408,2790,45.0,89.0,83.0,22.0,10.5,21.0,26.0,45.5
103,4023697881318718465,3151.95061998,3.35798907895424,0.282255655315343,0.0,8.955223880597014,6,67,61.0,5.0,30.0,143.0,128.5,141.0,134.5,45.5
137,4037179073830813185,2314.23517387,0.7654300160835091,0.25150133804587954,0.0,43.93939393939394,29,66,97.0,57.0,42.0,49.0,128.5,129.0,136.0,47.0
24,3925368433214965504,6491.14426619,0.3676283927769186,0.27429886603556825,-1.133927686953509,32.811334824757644,440,1341,25.0,96.0,33.0,95.0,104.0,47.0,42.0,48.0
130,4034359562055356161,5263.92021264,0.20560220103463464,0.1643475466989022,-5.681729010955536e+76,50.89655172413793,369,725,35.0,123.0,78.0,20.0,30.0,52.0,59.0,50.0
101,4023616625178799873,2074.1179328,0.8018180286544676,0.25466627690467786,-3.310095413360551e+74,41.1543287327478,328,797,100.0,54.0,41.0,61.0,31.0,57.0,58.0,50.0
10,3865845304835489536,1360.1801148,0.7090796704872427,0.242362698317211,-26.65175795,49.51338199513382,407,822,122.0,63.0,45.0,26.0,99.0,49.5,55.0,50.0
12,3879821005658659073,4129.76356712,2.0429557406773315,0.130674333112448,-5.6608743453270395e+22,32.5609756097561,267,820,44.0,23.0,94.0,97.0,65.0,65.0,56.0,52.0
55,3976088733682659585,5895.5641711,0.3985717252528603,0.14121279035567547,-1.7122574104035725e+69,43.32116788321168,1187,2740,29.0,92.0,87.0,52.0,32.0,27.0,28.0,53.0
